"Year","Borough","Neighborhood","Total","Humans","sq_meter","Ratio","Density"
11,"BRONX","BRONX PARK AND FORDHAM",65347.36842,241007,11433860,0.271143030783338,0.00571525000481027
11,"BRONX","CENTRAL BRONX",51345.74468,203982,8528220,0.251717037189556,0.00602068716332365
11,"BRONX","HIGH BRIDGE AND MORRISANIA",37479.66101,204821,7816430,0.182987393919569,0.00479498454025687
11,"BRONX","HUNTS POINT AND MOTT HAVEN",40411.53846,133949,10631050,0.30169346885755,0.00380127442350473
11,"BRONX","KINGSBRIDGE AND RIVERDALE",11243.92265,90567,10432580,0.124150326829861,0.00107777008659411
11,"BRONX","NORTHEAST BRONX",50491.66667,200571,19794800,0.251739616744195,0.00255075407026088
11,"BRONX","SOUTHEAST BRONX",99900,297602,36368140,0.335683227935296,0.00274690979522186
16,"BRONX","BRONX PARK AND FORDHAM",64428.47223,261147,11433860,0.246713430481683,0.00563488377765689
16,"BRONX","CENTRAL BRONX",47631.50684,214792,8528220,0.221756428731051,0.00558516394276883
16,"BRONX","HIGH BRIDGE AND MORRISANIA",39516.12903,216289,7816430,0.182700595175899,0.0050555213863618
16,"BRONX","HUNTS POINT AND MOTT HAVEN",49984.61538,142482,10631050,0.350813544026614,0.00470175715286825
16,"BRONX","KINGSBRIDGE AND RIVERDALE",25593.34027,93258,10432580,0.274435868987111,0.00245321294157342
16,"BRONX","NORTHEAST BRONX",50386.88866,202632,19794800,0.248662050712622,0.00254546086143836
16,"BRONX","SOUTHEAST BRONX",59925,308143,36368140,0.194471398019751,0.00164773342821492
