"Year","Borough","Neighborhood","Total","Humans","sq_meter","Ratio","Density"
11,"BROOKLYN","BOROUGH PARK",104458.3333,335341,16418150,0.311498842372391,0.00636236928642996
11,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",162934.3923,208838,7962620,0.780195138336893,0.0204624096465736
11,"BROOKLYN","CANARSIE AND FLATLANDS",37191.43647,202336,30337160,0.183810278299462,0.00122593665557356
11,"BROOKLYN","CENTRAL BROOKLYN",168332.3077,312762,15586330,0.538212147575473,0.0107999963878604
11,"BROOKLYN","EAST NEW YORK AND NEW LOTS",80607.14286,183123,15868970,0.440180331580413,0.00507954472533504
11,"BROOKLYN","FLATBUSH",124516.6667,303254,15436210,0.410601893792003,0.00806653101376568
11,"BROOKLYN","GREENPOINT",72336.36364,124004,9900400,0.583338953904713,0.0073064081895681
11,"BROOKLYN","NORTHWEST BROOKLYN",138547.619,229931,17408830,0.60256172069012,0.00795846814518839
11,"BROOKLYN","SOUTHERN BROOKLYN",82971.42857,266450,20799030,0.311395866278852,0.0039891970236112
11,"BROOKLYN","SOUTHWEST BROOKLYN",23785.22099,192615,15065760,0.123485818809542,0.00157876011498922
11,"BROOKLYN","SUNSET PARK",13838.67403,127465,9835600,0.10856842293963,0.00140699845764366
20,"BROOKLYN","BOROUGH PARK",103457.1429,324120,16418150,0.319193949463162,0.006301388579103
20,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",164208.8965,219953,7962620,0.746563568125918,0.0206224705561737
20,"BROOKLYN","CANARSIE AND FLATLANDS",34723.18286,202025,30337160,0.171875673109764,0.00114457592141123
20,"BROOKLYN","CENTRAL BROOKLYN",294745.9016,335884,15586330,0.877522899572471,0.0189105390172029
20,"BROOKLYN","EAST NEW YORK AND NEW LOTS",138272,193493,15868970,0.714609830846594,0.00871335694755236
20,"BROOKLYN","FLATBUSH",90917.20774,292416,15436210,0.310917349734625,0.00588986595414289
20,"BROOKLYN","GREENPOINT",75828,141271,9900400,0.536755597397909,0.00765908448143509
20,"BROOKLYN","NORTHWEST BROOKLYN",174533.3333,262916,17408830,0.663836865386663,0.0100255636536172
20,"BROOKLYN","SOUTHERN BROOKLYN",59242.10527,284917,20799030,0.207927590385972,0.00284831096786725
20,"BROOKLYN","SOUTHWEST BROOKLYN",31398.6228,202618,15065760,0.154964627032149,0.00208410480453691
20,"BROOKLYN","SUNSET PARK",47600,117158,9835600,0.406288943136619,0.00483956240595388
