"Year","Borough","Neighborhood","Total"
11,"MANHATTAN","CHELSEA AND CLINTON",87360
11,"MANHATTAN","LOWER EAST SIDE",50952.94117
11,"MANHATTAN","LOWER MANHATTAN",9514.088398
11,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",18163.259668
11,"MANHATTAN","GREENWICH VILLAGE AND SOHO",26807.692307
11,"MANHATTAN","UPPER EAST SIDE",54825
11,"MANHATTAN","UPPER WEST SIDE",57580.64516
11,"MANHATTAN","CENTRAL HARLEM",45100
11,"MANHATTAN","EAST HARLEM",31569.47514
11,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",51864.035091
11,"STATEN ISLAND","STAPLETON AND ST. GEORGE",41516.022098
11,"STATEN ISLAND","PORT RICHMOND",24217.67956
11,"STATEN ISLAND","SOUTH SHORE",96800
11,"STATEN ISLAND","MID ISLAND",20758.01105
11,"BRONX","HIGH BRIDGE AND MORRISANIA",37479.661012
11,"BRONX","CENTRAL BRONX",51345.74468
11,"BRONX","HUNTS POINT AND MOTT HAVEN",40411.538459
11,"BRONX","BRONX PARK AND FORDHAM",65347.36842
11,"BRONX","SOUTHEAST BRONX",99900.0000045
11,"BRONX","KINGSBRIDGE AND RIVERDALE",11243.922652
11,"BRONX","NORTHEAST BRONX",50491.66667
11,"QUEENS","NORTHEAST QUEENS",8216.7127085
11,"QUEENS","SOUTHEAST QUEENS",28974.7237571
11,"QUEENS","NORTHWEST QUEENS",56471.428563
11,"BROOKLYN","NORTHWEST BROOKLYN",138547.61904
11,"BROOKLYN","FLATBUSH",124516.66667
11,"BROOKLYN","BOROUGH PARK",104458.33333
11,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",162934.39227
11,"BROOKLYN","EAST NEW YORK AND NEW LOTS",80607.14286
11,"BROOKLYN","SOUTHWEST BROOKLYN",23785.220994
11,"BROOKLYN","GREENPOINT",72336.36364
11,"BROOKLYN","CENTRAL BROOKLYN",168332.30769
11,"BROOKLYN","SUNSET PARK",13838.674033
11,"BROOKLYN","SOUTHERN BROOKLYN",82971.42857
11,"BROOKLYN","CANARSIE AND FLATLANDS",37191.4364671
11,"QUEENS","NORTH QUEENS",20325.552487
11,"QUEENS","CENTRAL QUEENS",8649.1712701
11,"QUEENS","WEST QUEENS",157622.22222
11,"QUEENS","WEST CENTRAL QUEENS",86515.384605
11,"QUEENS","JAMAICA",115172.72728
11,"QUEENS","SOUTHWEST QUEENS",88111.111107
11,"QUEENS","ROCKAWAYS",13406.21547
12,"MANHATTAN","CHELSEA AND CLINTON",38608.333337
12,"MANHATTAN","LOWER EAST SIDE",52511.76471
12,"MANHATTAN","LOWER MANHATTAN",12536.5439092
12,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",17461.614731
12,"MANHATTAN","GREENWICH VILLAGE AND SOHO",28946.153845
12,"MANHATTAN","UPPER EAST SIDE",59733.33334
12,"MANHATTAN","UPPER WEST SIDE",40697.733711
12,"MANHATTAN","CENTRAL HARLEM",42556.818181
12,"MANHATTAN","EAST HARLEM",30445.89235
12,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",55250
12,"STATEN ISLAND","STAPLETON AND ST. GEORGE",31789.09349
12,"STATEN ISLAND","PORT RICHMOND",24625.354108
12,"STATEN ISLAND","SOUTH SHORE",62560
12,"STATEN ISLAND","MID ISLAND",25073.08782
12,"BRONX","HIGH BRIDGE AND MORRISANIA",52755.31915
12,"BRONX","CENTRAL BRONX",47545.19232
12,"BRONX","HUNTS POINT AND MOTT HAVEN",34903.703708
12,"BRONX","BRONX PARK AND FORDHAM",69874.5098
12,"BRONX","SOUTHEAST BRONX",76970.8333297
12,"BRONX","KINGSBRIDGE AND RIVERDALE",15670.679883
12,"BRONX","NORTHEAST BRONX",69866.666664
12,"QUEENS","NORTHWEST QUEENS",42534.70255
12,"QUEENS","SOUTHEAST QUEENS",31341.359773
12,"BROOKLYN","NORTHWEST BROOKLYN",143055
12,"BROOKLYN","FLATBUSH",90893.201133
12,"BROOKLYN","BOROUGH PARK",40743.76771
12,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",139651.04462
12,"BROOKLYN","EAST NEW YORK AND NEW LOTS",119350
12,"BROOKLYN","SOUTHWEST BROOKLYN",24177.620396
12,"BROOKLYN","GREENPOINT",49140
12,"BROOKLYN","CENTRAL BROOKLYN",230300
12,"BROOKLYN","SUNSET PARK",19700.283287
12,"BROOKLYN","SOUTHERN BROOKLYN",42534.70255
12,"BROOKLYN","CANARSIE AND FLATLANDS",36266.43059
12,"QUEENS","NORTH QUEENS",22834.4192631
12,"QUEENS","NORTHEAST QUEENS",5820.5382432
12,"QUEENS","CENTRAL QUEENS",4029.603399
12,"QUEENS","WEST QUEENS",154000
12,"QUEENS","WEST CENTRAL QUEENS",180916.66667
12,"QUEENS","JAMAICA",116577.5
12,"QUEENS","SOUTHWEST QUEENS",100792.8571356
12,"QUEENS","ROCKAWAYS",20595.750707
13,"MANHATTAN","CHELSEA AND CLINTON",49000
13,"MANHATTAN","LOWER EAST SIDE",51100.00001
13,"MANHATTAN","LOWER MANHATTAN",12122.2377618
13,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",17750.4195808
13,"MANHATTAN","GREENWICH VILLAGE AND SOHO",50412.5
13,"MANHATTAN","UPPER EAST SIDE",88400
13,"MANHATTAN","UPPER WEST SIDE",47353.6687729
13,"MANHATTAN","CENTRAL HARLEM",43399.999995
13,"MANHATTAN","EAST HARLEM",24415.38462
13,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",48374.637681
13,"STATEN ISLAND","STAPLETON AND ST. GEORGE",35933.776222
13,"STATEN ISLAND","PORT RICHMOND",22945.664336
13,"STATEN ISLAND","SOUTH SHORE",75716.666673
13,"STATEN ISLAND","MID ISLAND",21646.85315
13,"BRONX","HIGH BRIDGE AND MORRISANIA",49655.555551
13,"BRONX","CENTRAL BRONX",63817.5
13,"BRONX","HUNTS POINT AND MOTT HAVEN",37252.173915
13,"BRONX","BRONX PARK AND FORDHAM",72119.04762
13,"BRONX","SOUTHEAST BRONX",81120
13,"BRONX","KINGSBRIDGE AND RIVERDALE",14286.923078
13,"BRONX","NORTHEAST BRONX",70218.75
13,"QUEENS","NORTHWEST QUEENS",47480.629368
13,"QUEENS","SOUTHEAST QUEENS",31171.468531
13,"BROOKLYN","NORTHWEST BROOKLYN",174958.33334
13,"BROOKLYN","FLATBUSH",70891.095572
13,"BROOKLYN","BOROUGH PARK",35933.776224
13,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",107131.70732
13,"BROOKLYN","EAST NEW YORK AND NEW LOTS",134250
13,"BROOKLYN","SOUTHWEST BROOKLYN",25976.22378
13,"BROOKLYN","GREENPOINT",49680
13,"BROOKLYN","CENTRAL BROOKLYN",192516.36363
13,"BROOKLYN","SUNSET PARK",16451.608393
13,"BROOKLYN","SOUTHERN BROOKLYN",96800
13,"BROOKLYN","CANARSIE AND FLATLANDS",29872.65734
13,"QUEENS","NORTH QUEENS",18616.2937059
13,"QUEENS","NORTHEAST QUEENS",3896.4335668
13,"QUEENS","CENTRAL QUEENS",8658.74126
13,"QUEENS","WEST QUEENS",88905.263169
13,"QUEENS","WEST CENTRAL QUEENS",66955.882352
13,"QUEENS","JAMAICA",123088.235297
13,"QUEENS","SOUTHWEST QUEENS",156510
13,"QUEENS","ROCKAWAYS",9957.552448
14,"MANHATTAN","CHELSEA AND CLINTON",43391.66666
14,"MANHATTAN","LOWER EAST SIDE",54347.61905
14,"MANHATTAN","LOWER MANHATTAN",10139.6178334
14,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",25349.044586
14,"MANHATTAN","GREENWICH VILLAGE AND SOHO",31900.000003
14,"MANHATTAN","UPPER EAST SIDE",59957.692306
14,"MANHATTAN","UPPER WEST SIDE",49802.9718754
14,"MANHATTAN","CENTRAL HARLEM",64894.117649
14,"MANHATTAN","EAST HARLEM",29640
14,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",55770.967739
14,"STATEN ISLAND","STAPLETON AND ST. GEORGE",59375
14,"STATEN ISLAND","PORT RICHMOND",28306.433116
14,"STATEN ISLAND","SOUTH SHORE",73125.000007
14,"STATEN ISLAND","MID ISLAND",23659.10828
14,"BRONX","HIGH BRIDGE AND MORRISANIA",45610.169487
14,"BRONX","CENTRAL BRONX",48964.61539
14,"BRONX","HUNTS POINT AND MOTT HAVEN",38911.290323
14,"BRONX","BRONX PARK AND FORDHAM",76537.14286
14,"BRONX","SOUTHEAST BRONX",66344.827589
14,"BRONX","KINGSBRIDGE AND RIVERDALE",20279.235667
14,"BRONX","NORTHEAST BRONX",44134.615383
14,"QUEENS","NORTHWEST QUEENS",59269.9681529
14,"QUEENS","SOUTHEAST QUEENS",27883.9490454
14,"BROOKLYN","NORTHWEST BROOKLYN",182688.46155
14,"BROOKLYN","FLATBUSH",61121.275606
14,"BROOKLYN","BOROUGH PARK",34221.210191
14,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",174878.13164
14,"BROOKLYN","EAST NEW YORK AND NEW LOTS",87289.47368
14,"BROOKLYN","SOUTHWEST BROOKLYN",16476.878981
14,"BROOKLYN","GREENPOINT",65695.45455
14,"BROOKLYN","CENTRAL BROOKLYN",183023.4375
14,"BROOKLYN","SUNSET PARK",8872.165605
14,"BROOKLYN","SOUTHERN BROOKLYN",39291.019099
14,"BROOKLYN","CANARSIE AND FLATLANDS",24926.56051
14,"QUEENS","NORTH QUEENS",20279.2356679
14,"QUEENS","NORTHEAST QUEENS",6759.7452229
14,"QUEENS","CENTRAL QUEENS",8449.6815284
14,"QUEENS","WEST QUEENS",84099.999993
14,"QUEENS","WEST CENTRAL QUEENS",79769.230769
14,"QUEENS","JAMAICA",132646.66666
14,"QUEENS","SOUTHWEST QUEENS",110499.999984
14,"QUEENS","ROCKAWAYS",16054.3949039
15,"MANHATTAN","CHELSEA AND CLINTON",39530.555556
15,"MANHATTAN","LOWER EAST SIDE",50124.13793
15,"MANHATTAN","LOWER MANHATTAN",10816.5921781
15,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",24838.100559
15,"MANHATTAN","GREENWICH VILLAGE AND SOHO",67000
15,"MANHATTAN","UPPER EAST SIDE",90112.5
15,"MANHATTAN","UPPER WEST SIDE",48471.428564
15,"MANHATTAN","CENTRAL HARLEM",49932.978718
15,"MANHATTAN","EAST HARLEM",25025
15,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",52216.216213
15,"STATEN ISLAND","STAPLETON AND ST. GEORGE",42064.52514
15,"STATEN ISLAND","PORT RICHMOND",27241.787705
15,"STATEN ISLAND","SOUTH SHORE",84211.111109
15,"STATEN ISLAND","MID ISLAND",18428.26816
15,"BRONX","HIGH BRIDGE AND MORRISANIA",46050.847461
15,"BRONX","CENTRAL BRONX",51847.5
15,"BRONX","HUNTS POINT AND MOTT HAVEN",38866.666671
15,"BRONX","BRONX PARK AND FORDHAM",64405.9322
15,"BRONX","SOUTHEAST BRONX",71882.608697
15,"BRONX","KINGSBRIDGE AND RIVERDALE",20831.955307
15,"BRONX","NORTHEAST BRONX",52031.25
15,"QUEENS","NORTHWEST QUEENS",60143.5367393
15,"QUEENS","SOUTHEAST QUEENS",29244.8603356
15,"BROOKLYN","NORTHWEST BROOKLYN",129918
15,"BROOKLYN","FLATBUSH",87435
15,"BROOKLYN","BOROUGH PARK",32449.776537
15,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",155321.97333
15,"BROOKLYN","EAST NEW YORK AND NEW LOTS",102857.14285
15,"BROOKLYN","SOUTHWEST BROOKLYN",17226.424582
15,"BROOKLYN","GREENPOINT",58040.625
15,"BROOKLYN","CENTRAL BROOKLYN",173150.64102
15,"BROOKLYN","SUNSET PARK",10415.977653
15,"BROOKLYN","SOUTHERN BROOKLYN",49068.181823
15,"BROOKLYN","CANARSIE AND FLATLANDS",23235.64246
15,"QUEENS","NORTH QUEENS",18428.2681572
15,"QUEENS","NORTHEAST QUEENS",5608.6033521
15,"QUEENS","CENTRAL QUEENS",8813.5195533
15,"QUEENS","WEST QUEENS",121714.285724
15,"QUEENS","WEST CENTRAL QUEENS",75199.999997
15,"QUEENS","JAMAICA",89178.57142
15,"QUEENS","SOUTHWEST QUEENS",59176.923071
15,"QUEENS","ROCKAWAYS",10816.592179
