"Year","Borough","Neighborhood","Total","Humans","sq_meter","Ratio","Density"
11,"QUEENS","CENTRAL QUEENS",8649.17127,94278,15463470,0.0917411407751543,0.000559329262448855
11,"QUEENS","JAMAICA",115172.7273,285295,31856030,0.403696970854729,0.00361541370032612
11,"QUEENS","NORTH QUEENS",20325.55249,257413,30809688,0.0789608624661536,0.000659713025656086
11,"QUEENS","NORTHEAST QUEENS",8216.712709,88842,19709110,0.0924868047657639,0.000416899226246137
11,"QUEENS","NORTHWEST QUEENS",56471.42856,194376,18614290,0.290526755154957,0.0030337675280658
11,"QUEENS","ROCKAWAYS",13406.21547,113026,21794750,0.118611783748872,0.000615112147191411
11,"QUEENS","SOUTHEAST QUEENS",28974.72376,200415,34493800,0.144573628520819,0.00083999802167346
11,"QUEENS","SOUTHWEST QUEENS",88111.11111,273298,27922540,0.322399399593118,0.00315555501433609
11,"QUEENS","WEST CENTRAL QUEENS",86515.38461,245978,22279050,0.35172000996024,0.00388326183611958
11,"QUEENS","WEST QUEENS",157622.2222,462257,32342450,0.340983959572273,0.00487353995136423
20,"QUEENS","CENTRAL QUEENS",8496.097934,97980,15463470,0.0867125733210859,0.000549430233576293
20,"QUEENS","JAMAICA",94819.56522,309667,31856030,0.306198481659331,0.00297650288563892
20,"QUEENS","NORTH QUEENS",35831.36955,253562,30809688,0.141312063913362,0.00116299034089537
20,"QUEENS","NORTHEAST QUEENS",4802.142311,89925,19709110,0.0534016381540172,0.000243650896006973
20,"QUEENS","NORTHWEST QUEENS",102738.6215,195898,18614290,0.524449568142605,0.00551934140383544
20,"QUEENS","ROCKAWAYS",11820.658,128662,21794750,0.0918737311715969,0.00054236263320295
20,"QUEENS","SOUTHEAST QUEENS",24749.50268,205571,34493800,0.120393940195845,0.000717505832352481
20,"QUEENS","SOUTHWEST QUEENS",95558.82354,275920,27922540,0.346328006451145,0.00342228262686704
20,"QUEENS","WEST CENTRAL QUEENS",104428.5714,258593,22279050,0.403833713209561,0.0046872991173322
20,"QUEENS","WEST QUEENS",137759.3023,449376,32342450,0.306556875089012,0.00425939600432249
