Year,zip,Borough,Neighborhood,Percentage,Number
20,10001,MANHATTAN,CHELSEA AND CLINTON,0.01889753,9292.592593
20,10002,MANHATTAN,LOWER EAST SIDE,0.023195525,29428.94737
20,10003,MANHATTAN,LOWER EAST SIDE,0.023195525,18323.68421
20,10004,MANHATTAN,LOWER MANHATTAN,0.004093328,1477.582249
20,10005,MANHATTAN,LOWER MANHATTAN,0.004093328,1108.186687
20,10006,MANHATTAN,LOWER MANHATTAN,0.004093328,1108.186687
20,10007,MANHATTAN,LOWER MANHATTAN,0.004093328,4802.142311
20,10009,MANHATTAN,LOWER EAST SIDE,0.023195525,29984.21053
20,10010,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.009209988,7387.911247
20,10011,MANHATTAN,CHELSEA AND CLINTON,0.01889753,13224.07407
20,10012,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.014463092,12928.84468
20,10013,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.014463092,14406.42693
20,10014,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.014463092,11451.26243
20,10016,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.009209988,9973.680184
20,10017,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.009209988,1477.582249
20,10018,MANHATTAN,CHELSEA AND CLINTON,0.01889753,4646.296296
20,10019,MANHATTAN,CHELSEA AND CLINTON,0.01889753,10007.40741
20,10021,MANHATTAN,UPPER EAST SIDE,0.026060854,4554
20,10022,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.009209988,7018.515685
20,10023,MANHATTAN,UPPER WEST SIDE,0.056419703,13810.67416
20,10024,MANHATTAN,UPPER WEST SIDE,0.056419703,27847.75281
20,10025,MANHATTAN,UPPER WEST SIDE,0.056419703,26942.13483
20,10026,MANHATTAN,CENTRAL HARLEM,0.045435939,18862.36559
20,10027,MANHATTAN,CENTRAL HARLEM,0.045435939,19247.31183
20,10028,MANHATTAN,UPPER EAST SIDE,0.026060854,19228
20,10029,MANHATTAN,EAST HARLEM,0.022854414,20148.57143
20,10030,MANHATTAN,CENTRAL HARLEM,0.045435939,12510.75269
20,10031,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.042502388,17600
20,10032,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.042502388,16000
20,10033,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.042502388,11466.66667
20,10034,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.042502388,10666.66667
20,10035,MANHATTAN,EAST HARLEM,0.022854414,15725.71429
20,10036,MANHATTAN,CHELSEA AND CLINTON,0.01889753,8577.777778
20,10037,MANHATTAN,CENTRAL HARLEM,0.045435939,5966.666667
20,10038,MANHATTAN,LOWER MANHATTAN,0.004093328,2955.164499
20,10039,MANHATTAN,CENTRAL HARLEM,0.045435939,4426.88172
20,10040,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.042502388,4000
20,10044,MANHATTAN,UPPER EAST SIDE,0.026060854,0
20,10065,MANHATTAN,UPPER EAST SIDE,0.026060854,10626
20,10069,MANHATTAN,UPPER WEST SIDE,#N/A,369.3955624
20,10075,MANHATTAN,UPPER EAST SIDE,0.026060854,10120
20,10128,MANHATTAN,UPPER EAST SIDE,0.026060854,13662
20,10280,MANHATTAN,LOWER MANHATTAN,0.004093328,369.3955624
20,10282,MANHATTAN,LOWER MANHATTAN,#N/A,738.7911247
20,10301,STATEN ISLAND,STAPLETON AND ST. GEORGE,0.011393096,16992.19587
20,10302,STATEN ISLAND,PORT RICHMOND,0.009823987,8126.702372
20,10303,STATEN ISLAND,PORT RICHMOND,0.009823987,9973.680184
20,10304,STATEN ISLAND,STAPLETON AND ST. GEORGE,0.011393096,15884.00918
20,10305,STATEN ISLAND,STAPLETON AND ST. GEORGE,0.011393096,11451.26243
20,10306,STATEN ISLAND,SOUTH SHORE,0.013303316,15884.00918
20,10307,STATEN ISLAND,SOUTH SHORE,0.013303316,1108.186687
20,10308,STATEN ISLAND,SOUTH SHORE,0.013303316,6649.120122
20,10309,STATEN ISLAND,SOUTH SHORE,0.013303316,4802.142311
20,10310,STATEN ISLAND,PORT RICHMOND,0.009823987,16622.80031
20,10312,STATEN ISLAND,SOUTH SHORE,0.013303316,18469.77812
20,10314,STATEN ISLAND,MID ISLAND,0.004980216,19577.9648
20,10451,BRONX,HIGH BRIDGE AND MORRISANIA,0.028448629,8100
20,10452,BRONX,HIGH BRIDGE AND MORRISANIA,0.028448629,12375
20,10453,BRONX,CENTRAL BRONX,0.030699959,20022.41379
