"Year","Borough","Neighborhood","Total","Humans","sq_meter","Ratio","Density"
11,"MANHATTAN","CENTRAL HARLEM",45100,166792,5723382,0.270396661710394,0.00787995629157725
11,"MANHATTAN","CHELSEA AND CLINTON",87360,140600,7128962,0.621337126600285,0.0122542384150736
11,"MANHATTAN","EAST HARLEM",31569.47514,113741,5753160,0.277555807844137,0.00548732785808147
11,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",18163.25967,127158,4349502,0.142840086113339,0.00417594006624207
11,"MANHATTAN","GREENWICH VILLAGE AND SOHO",26807.69231,81969,3642691,0.327046716563579,0.00735931000186401
11,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",51864.03509,264239,8847482,0.196276988218999,0.00586201080601238
11,"MANHATTAN","LOWER EAST SIDE",50952.94117,198860,5367650,0.25622518942975,0.00949259753709724
11,"MANHATTAN","LOWER MANHATTAN",9514.088398,43424,3430705,0.219097466792557,0.00277321669977454
11,"MANHATTAN","UPPER EAST SIDE",54825,215358,5139754,0.254576101189647,0.0106668529272024
11,"MANHATTAN","UPPER WEST SIDE",57580.64516,215604,5438960,0.26706668317842,0.0105867013473164
20,"MANHATTAN","CENTRAL HARLEM",61013.9785,180928,5723382,0.337227949792183,0.0106604763582092
20,"MANHATTAN","CHELSEA AND CLINTON",45748.14815,157141,7128962,0.291128019740233,0.00641722429576704
20,"MANHATTAN","EAST HARLEM",35874.28572,111616,5753160,0.321408093104931,0.00623557935465031
20,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",25857.68936,135314,4349502,0.191093969286253,0.00594497700196482
20,"MANHATTAN","GREENWICH VILLAGE AND SOHO",38786.53404,80762,3642691,0.4802572254278,0.0106477694759177
20,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",59733.33334,265585,8847482,0.224912300544082,0.00675145011202057
20,"MANHATTAN","LOWER EAST SIDE",77736.84211,187301,5367650,0.415036983838848,0.0144824722383166
20,"MANHATTAN","LOWER MANHATTAN",12559.44912,56377,3430705,0.22277611650141,0.00366089451585024
20,"MANHATTAN","UPPER EAST SIDE",58190,213908,5139754,0.272032836546553,0.0113215535218223
20,"MANHATTAN","UPPER WEST SIDE",68969.95736,215104,5438960,0.320635401294258,0.0126807252415903
