"Year","Borough","Neighborhood","Total","Humans","sq_meter","Ratio","Density"
20,"BROOKLYN","BOROUGH PARK",103457.1429,324120,16418150,0.319193949463162,0.006301388579103
20,"BRONX","BRONX PARK AND FORDHAM",56513.33333,265538,11433860,0.212825785123033,0.00494262946459026
20,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",164208.8965,219953,7962620,0.746563568125918,0.0206224705561737
20,"BROOKLYN","CANARSIE AND FLATLANDS",34723.18286,202025,30337160,0.171875673109764,0.00114457592141123
20,"BRONX","CENTRAL BRONX",53731.03448,211051,8528220,0.254587917043748,0.00630038090949811
20,"BROOKLYN","CENTRAL BROOKLYN",294745.9016,335884,15586330,0.877522899572471,0.0189105390172029
20,"MANHATTAN","CENTRAL HARLEM",61013.9785,180928,5723382,0.337227949792183,0.0106604763582092
20,"QUEENS","CENTRAL QUEENS",8496.097934,97980,15463470,0.0867125733210859,0.000549430233576293
20,"MANHATTAN","CHELSEA AND CLINTON",45748.14815,157141,7128962,0.291128019740233,0.00641722429576704
20,"MANHATTAN","EAST HARLEM",35874.28572,111616,5753160,0.321408093104931,0.00623557935465031
20,"BROOKLYN","EAST NEW YORK AND NEW LOTS",138272,193493,15868970,0.714609830846594,0.00871335694755236
20,"BROOKLYN","FLATBUSH",90917.20774,292416,15436210,0.310917349734625,0.00588986595414289
20,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",25857.68936,135314,4349502,0.191093969286253,0.00594497700196482
20,"BROOKLYN","GREENPOINT",75828,141271,9900400,0.536755597397909,0.00765908448143509
20,"MANHATTAN","GREENWICH VILLAGE AND SOHO",38786.53404,80762,3642691,0.4802572254278,0.0106477694759177
20,"BRONX","HIGH BRIDGE AND MORRISANIA",42750,214281,7816430,0.19950438909656,0.00546924874910925
20,"BRONX","HUNTS POINT AND MOTT HAVEN",46297.67442,138077,10631050,0.335303304822671,0.0043549484218398
20,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",59733.33334,265585,8847482,0.224912300544082,0.00675145011202057
20,"QUEENS","JAMAICA",94819.56522,309667,31856030,0.306198481659331,0.00297650288563892
20,"BRONX","KINGSBRIDGE AND RIVERDALE",23641.31599,92813,10432580,0.254719877495609,0.00226610445258987
20,"MANHATTAN","LOWER EAST SIDE",77736.84211,187301,5367650,0.415036983838848,0.0144824722383166
20,"MANHATTAN","LOWER MANHATTAN",12559.44912,56377,3430705,0.22277611650141,0.00366089451585024
20,"STATEN ISLAND","MID ISLAND",19577.9648,89938,35520700,0.217682901554404,0.000551170579408627
20,"QUEENS","NORTH QUEENS",35831.36955,253562,30809688,0.141312063913362,0.00116299034089537
20,"BRONX","NORTHEAST BRONX",49129.60979,206360,19794800,0.238077194175228,0.00248194524774183
20,"QUEENS","NORTHEAST QUEENS",4802.142311,89925,19709110,0.0534016381540172,0.000243650896006973
20,"BROOKLYN","NORTHWEST BROOKLYN",174533.3333,262916,17408830,0.663836865386663,0.0100255636536172
20,"QUEENS","NORTHWEST QUEENS",102738.6215,195898,18614290,0.524449568142605,0.00551934140383544
20,"STATEN ISLAND","PORT RICHMOND",34723.18287,69274,15869040,0.501244086814678,0.00218810859825169
20,"QUEENS","ROCKAWAYS",11820.658,128662,21794750,0.0918737311715969,0.00054236263320295
20,"STATEN ISLAND","SOUTH SHORE",46913.23642,193282,66837940,0.242719117248373,0.000701895307066615
20,"BRONX","SOUTHEAST BRONX",84032.92684,303526,36368140,0.276855777890527,0.00231061931789748
20,"QUEENS","SOUTHEAST QUEENS",24749.50268,205571,34493800,0.120393940195845,0.000717505832352481
20,"BROOKLYN","SOUTHERN BROOKLYN",59242.10527,284917,20799030,0.207927590385972,0.00284831096786725
20,"BROOKLYN","SOUTHWEST BROOKLYN",31398.6228,202618,15065760,0.154964627032149,0.00208410480453691
20,"QUEENS","SOUTHWEST QUEENS",95558.82354,275920,27922540,0.346328006451145,0.00342228262686704
20,"STATEN ISLAND","STAPLETON AND ST. GEORGE",44327.46748,123102,30524460,0.360087305486507,0.00145219497674979
20,"BROOKLYN","SUNSET PARK",47600,117158,9835600,0.406288943136619,0.00483956240595388
20,"MANHATTAN","UPPER EAST SIDE",58190,213908,5139754,0.272032836546553,0.0113215535218223
20,"MANHATTAN","UPPER WEST SIDE",68969.95736,215104,5438960,0.320635401294258,0.0126807252415903
20,"QUEENS","WEST CENTRAL QUEENS",104428.5714,258593,22279050,0.403833713209561,0.0046872991173322
20,"QUEENS","WEST QUEENS",137759.3023,449376,32342450,0.306556875089012,0.00425939600432249
