Year,zip,Borough,Neighborhood,Percentage,Number,,
21,10001,MANHATTAN,CHELSEA AND CLINTON,0.020403752,7253.333333,,
21,10002,MANHATTAN,LOWER EAST SIDE,0.029135867,18900,,
21,10003,MANHATTAN,LOWER EAST SIDE,0.029135867,17905.26316,,
21,10004,MANHATTAN,LOWER MANHATTAN,0.002896295,1488.340336,,
21,10005,MANHATTAN,LOWER MANHATTAN,0.002896295,1488.340336,,
21,10006,MANHATTAN,LOWER MANHATTAN,0.002896295,1860.42542,,
21,10007,MANHATTAN,LOWER MANHATTAN,0.002896295,744.1701681,,
21,10009,MANHATTAN,LOWER EAST SIDE,0.029135867,19563.15789,,
21,10010,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.006873298,4465.021008,,
21,10011,MANHATTAN,CHELSEA AND CLINTON,0.020403752,19040,,
21,10012,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.019366273,19536.84211,,
21,10013,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.019366273,28968.42105,,
21,10014,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.019366273,35031.57895,,
21,10016,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.006873298,14511.31828,,
21,10017,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.006873298,1488.340336,,
21,10018,MANHATTAN,CHELSEA AND CLINTON,0.020403752,1511.111111,,
21,10019,MANHATTAN,CHELSEA AND CLINTON,0.020403752,10880,,
21,10020,MANHATTAN,CHELSEA AND CLINTON,0.020403752,0,,
21,10021,MANHATTAN,UPPER EAST SIDE,0.029827519,4876.190476,,
21,10022,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.006873298,6697.531513,,
21,10023,MANHATTAN,UPPER WEST SIDE,0.048718281,14937.70492,,
21,10024,MANHATTAN,UPPER WEST SIDE,0.048718281,28557.37705,,
21,10025,MANHATTAN,UPPER WEST SIDE,0.048718281,35367.21311,,
21,10026,MANHATTAN,CENTRAL HARLEM,0.065188259,21544.11765,,
21,10027,MANHATTAN,CENTRAL HARLEM,0.065188259,20466.91176,,
21,10028,MANHATTAN,UPPER EAST SIDE,0.029827519,25295.2381,,
21,10029,MANHATTAN,EAST HARLEM,0.017723598,16595.3125,,
21,10030,MANHATTAN,CENTRAL HARLEM,0.065188259,8617.647059,,
21,10031,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.04344443,20645.87629,,
21,10032,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.04344443,16987.1134,,
21,10033,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.04344443,12544.3299,,
21,10034,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.04344443,9669.587629,,
21,10035,MANHATTAN,EAST HARLEM,0.017723598,11964.0625,,
